"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "Markdown", "JSON", "XML", "HTML", "comment", "blank", "total"
"d:\ecommerce-system\apps\seller-app\src\components\product\Step6Review.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 0, 5, 7, 90
"d:\ecommerce-system\apps\seller-app\src\components\product\VariantCard.jsx", "JavaScript JSX", 0, 0, 112, 0, 0, 0, 0, 9, 29, 150
"d:\ecommerce-system\apps\seller-app\src\components\product\calculateMargin.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 7, 4, 22
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\SidebarStepper.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\StepNavigation.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\map\CurrentLocationButton.jsx", "JavaScript JSX", 0, 0, 47, 0, 0, 0, 0, 0, 18, 65
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\map\ReverseGeocode.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 8, 38
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\map\SearchField.jsx", "JavaScript JSX", 0, 0, 74, 0, 0, 0, 0, 0, 18, 92
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\map\StoreMap.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 0, 0, 26, 126
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\map\locationService.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\steps\Step1Account.jsx", "JavaScript JSX", 0, 0, 47, 0, 0, 0, 0, 0, 5, 52
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\steps\Step2Business.jsx", "JavaScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 7, 62
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\steps\Step3Store.jsx", "JavaScript JSX", 0, 0, 129, 0, 0, 0, 0, 16, 37, 182
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\steps\Step4Bank.jsx", "JavaScript JSX", 0, 0, 66, 0, 0, 0, 0, 1, 7, 74
"d:\ecommerce-system\apps\seller-app\src\components\sellerRegisterForm\steps\Step5KYC.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
